Geneid	GeneSymbol	Class
131	gene131.1	qXgSP	pseudo gene
132	gene132.1	H0dL3	pseudo gene
133	gene133.1	851ym	pseudo gene
134	gene134.1	0scBm	pseudo gene
135	gene135.1	qoJ04	pseudo gene
136	gene136.1	9G1ej	pseudo gene
137	gene137.1	RtvqC	pseudo gene
138	gene138.1	AIOxM	pseudo gene
139	gene139.1	pLYQx	pseudo gene
140	gene140.1	OGd55	pseudo gene
141	gene141.1	RXK2K	pseudo gene
142	gene142.1	Qnrwt	pseudo gene
143	gene143.1	rOXCr	pseudo gene
144	gene144.1	AKtw6	pseudo gene
145	gene145.1	2bVbo	pseudo gene
146	gene146.1	9v2qb	pseudo gene
147	gene147.1	BIc88	pseudo gene
148	gene148.1	X515k	pseudo gene
149	gene149.1	qRzBb	pseudo gene
150	gene150.1	Y8oQv	pseudo gene
151	gene151.1	TjBQK	pseudo gene
152	gene152.1	9H1wJ	pseudo gene
153	gene153.1	E7z10	pseudo gene
154	gene154.1	RjuFo	pseudo gene
155	gene155.1	DHjou	pseudo gene
156	gene156.1	zuSvK	pseudo gene
157	gene157.1	iFgf6	pseudo gene
158	gene158.1	NGIWz	pseudo gene
159	gene159.1	3rgqs	pseudo gene
160	gene160.1	93ANn	pseudo gene
161	gene161.1	6IQDj	pseudo gene
162	gene162.1	DG7Wa	pseudo gene
163	gene163.1	EuTge	pseudo gene
164	gene164.1	GNzbj	pseudo gene
165	gene165.1	zyC37	pseudo gene
166	gene166.1	AkPDs	pseudo gene
167	gene167.1	u05JB	pseudo gene
168	gene168.1	ku3zL	pseudo gene
169	gene169.1	7uyFy	pseudo gene
170	gene170.1	wH01j	pseudo gene
171	gene171.1	inS7u	pseudo gene
172	gene172.1	1sfO4	pseudo gene
173	gene173.1	FFlhL	pseudo gene
174	gene174.1	HHK7p	pseudo gene
175	gene175.1	cwvEL	pseudo gene
176	gene176.1	jtKNJ	pseudo gene
177	gene177.1	LwEKI	pseudo gene
178	gene178.1	0oX9b	pseudo gene
179	gene179.1	Rgj4Q	pseudo gene
180	gene180.1	kk1f1	pseudo gene
181	gene181.1	Cqu2a	pseudo gene
182	gene182.1	dhVfT	pseudo gene
183	gene183.1	hVute	pseudo gene
184	gene184.1	JMakK	pseudo gene
185	gene185.1	5chBk	pseudo gene
186	gene186.1	5rKn8	pseudo gene
187	gene187.1	p99QF	pseudo gene
188	gene188.1	DuiRU	pseudo gene
189	gene189.1	3KOaP	pseudo gene
190	gene190.1	CDTF8	pseudo gene
191	gene191.1	a7u5i	pseudo gene
192	gene192.1	gddOt	pseudo gene
193	gene193.1	zRkpp	pseudo gene
194	gene194.1	3uSjz	pseudo gene
195	gene195.1	gmt7l	pseudo gene
196	gene196.1	0bdjB	pseudo gene
197	gene197.1	UHcR9	pseudo gene
198	gene198.1	D9uvs	pseudo gene
199	gene199.1	v1hfg	pseudo gene
200	gene200.1	9Q1es	pseudo gene
201	gene201.1	hr2sB	pseudo gene
202	gene202.1	jgluG	pseudo gene
203	gene203.1	q1jQn	pseudo gene
204	gene204.1	uMhnp	pseudo gene
205	gene205.1	dWD1h	pseudo gene
206	gene206.1	5Nn54	pseudo gene
207	gene207.1	tm5k7	pseudo gene
208	gene208.1	f5lMR	pseudo gene
209	gene209.1	ewuxo	pseudo gene
210	gene210.1	dcmWp	pseudo gene
211	gene211.1	rCdKw	pseudo gene
212	gene212.1	zyF7F	pseudo gene
213	gene213.1	Lfydz	pseudo gene
214	gene214.1	cSmVU	pseudo gene
215	gene215.1	24PTs	pseudo gene
216	gene216.1	inXLF	pseudo gene
217	gene217.1	QuebE	pseudo gene
218	gene218.1	i6rXC	pseudo gene
219	gene219.1	9IVkK	pseudo gene
220	gene220.1	V3zVF	pseudo gene
221	gene221.1	7Cpxu	pseudo gene
222	gene222.1	oniHa	pseudo gene
223	gene223.1	pjyut	pseudo gene
224	gene224.1	Fd9jr	pseudo gene
225	gene225.1	4TwFN	pseudo gene
226	gene226.1	wsjfL	pseudo gene
227	gene227.1	TeF8L	pseudo gene
228	gene228.1	vetpe	pseudo gene
229	gene229.1	wPDhk	pseudo gene
230	gene230.1	4jqE3	pseudo gene
231	gene231.1	l2JL6	pseudo gene
232	gene232.1	yor80	pseudo gene
233	gene233.1	4bzwT	pseudo gene
234	gene234.1	udKO9	pseudo gene
235	gene235.1	ma5WO	pseudo gene
236	gene236.1	7qy8N	pseudo gene
237	gene237.1	MaSdU	pseudo gene
238	gene238.1	6QrD8	pseudo gene
239	gene239.1	Uk3ns	pseudo gene
240	gene240.1	ZwRjB	pseudo gene
241	gene241.1	cCxOR	pseudo gene
242	gene242.1	qp01R	pseudo gene
243	gene243.1	d2cjc	pseudo gene
244	gene244.1	xJVIf	pseudo gene
245	gene245.1	UbGgH	pseudo gene
246	gene246.1	mPkF4	pseudo gene
247	gene247.1	BGUCq	pseudo gene
248	gene248.1	fZ3yH	pseudo gene
249	gene249.1	7iAjX	pseudo gene
250	gene250.1	ZDM6N	pseudo gene
251	gene251.1	UNYzm	pseudo gene
252	gene252.1	pFqxb	pseudo gene
253	gene253.1	h8fEi	pseudo gene
254	gene254.1	YBcBl	pseudo gene
255	gene255.1	WR8Sv	pseudo gene
256	gene256.1	rN3pb	pseudo gene
257	gene257.1	3PWvB	pseudo gene
258	gene258.1	9h7QG	pseudo gene
259	gene259.1	iwhg7	pseudo gene
260	gene260.1	8IXJx	pseudo gene
261	gene261.1	pBiOf	pseudo gene
262	gene262.1	knTod	pseudo gene
263	gene263.1	nBfKk	pseudo gene
264	gene264.1	1KgSk	pseudo gene
265	gene265.1	FPhIB	pseudo gene
266	gene266.1	rHk80	pseudo gene
267	gene267.1	s6ROp	pseudo gene
268	gene268.1	Knvnq	pseudo gene
269	gene269.1	QmhRu	pseudo gene
270	gene270.1	iB3vc	pseudo gene
271	gene271.1	qmmcN	pseudo gene
272	gene272.1	QRWOV	pseudo gene
273	gene273.1	w1ZH2	pseudo gene
274	gene274.1	tXIo8	pseudo gene
275	gene275.1	sxzLe	pseudo gene
276	gene276.1	DVjn8	pseudo gene
277	gene277.1	E6TUE	pseudo gene
278	gene278.1	jU1hB	pseudo gene
279	gene279.1	VtSFQ	pseudo gene
280	gene280.1	BKPch	pseudo gene
281	gene281.1	sasDy	pseudo gene
282	gene282.1	SeIaZ	pseudo gene
283	gene283.1	R40as	pseudo gene
284	gene284.1	gvZBz	pseudo gene
285	gene285.1	56AfQ	pseudo gene
286	gene286.1	847Gf	pseudo gene
287	gene287.1	HtvLt	pseudo gene
288	gene288.1	3f4w2	pseudo gene
289	gene289.1	1DodA	pseudo gene
290	gene290.1	vvtL7	pseudo gene
291	gene291.1	jjafl	pseudo gene
292	gene292.1	1Ozpb	pseudo gene
293	gene293.1	jy9DP	pseudo gene
294	gene294.1	o2xBk	pseudo gene
295	gene295.1	HdgoH	pseudo gene
296	gene296.1	ie3j0	pseudo gene
297	gene297.1	ewrk2	pseudo gene
298	gene298.1	oZ76h	pseudo gene
299	gene299.1	E1ztr	pseudo gene
300	gene300.1	2v9GH	pseudo gene
301	gene301.1	yb5RB	pseudo gene
302	gene302.1	48cLr	pseudo gene
303	gene303.1	5SF7o	pseudo gene
304	gene304.1	e2GdF	pseudo gene
305	gene305.1	RIhVo	pseudo gene
306	gene306.1	4NHQE	pseudo gene
307	gene307.1	qd5Mg	pseudo gene
308	gene308.1	UVWLO	pseudo gene
309	gene309.1	EYqKn	pseudo gene
310	gene310.1	AAsO9	pseudo gene
311	gene311.1	NHQ4T	pseudo gene
312	gene312.1	KecBD	pseudo gene
313	gene313.1	ewCWB	pseudo gene
314	gene314.1	N6T0L	pseudo gene
315	gene315.1	KbcMr	pseudo gene
316	gene316.1	gtZQp	pseudo gene
317	gene317.1	TE0iV	pseudo gene
318	gene318.1	dv1R2	pseudo gene
319	gene319.1	UiLKS	pseudo gene
320	gene320.1	o9qCy	pseudo gene
321	gene321.1	szHuk	pseudo gene
322	gene322.1	zsP2f	pseudo gene
323	gene323.1	AyuT7	pseudo gene
324	gene324.1	jq8Vt	pseudo gene
325	gene325.1	xvw9z	pseudo gene
326	gene326.1	u82mJ	pseudo gene
327	gene327.1	EalE0	pseudo gene
328	gene328.1	iplmg	pseudo gene
329	gene329.1	AwEuH	pseudo gene
330	gene330.1	vU1cx	pseudo gene
331	gene331.1	Q0o6o	pseudo gene
332	gene332.1	LEwZI	pseudo gene
333	gene333.1	KBvOg	pseudo gene
334	gene334.1	PHqaZ	pseudo gene
335	gene335.1	XhebL	pseudo gene
336	gene336.1	aUKWe	pseudo gene
337	gene337.1	Q68l3	pseudo gene
338	gene338.1	2xMPx	pseudo gene
339	gene339.1	VrawP	pseudo gene
340	gene340.1	x82NI	pseudo gene
341	gene341.1	f4p2g	pseudo gene
342	gene342.1	TsgU9	pseudo gene
343	gene343.1	k8bYE	pseudo gene
344	gene344.1	RUGnp	pseudo gene
345	gene345.1	BKDtl	pseudo gene
346	gene346.1	eAyoa	pseudo gene
347	gene347.1	bcSyO	pseudo gene
348	gene348.1	S1tbw	pseudo gene
349	gene349.1	n80k4	pseudo gene
350	gene350.1	6wM1g	pseudo gene
351	gene351.1	IybDd	pseudo gene
352	gene352.1	UqF2L	pseudo gene
353	gene353.1	QxsEN	pseudo gene
354	gene354.1	0fslD	pseudo gene
355	gene355.1	V4zZT	pseudo gene
356	gene356.1	iY4hX	pseudo gene
357	gene357.1	VoGXX	pseudo gene
358	gene358.1	EJcxT	pseudo gene
359	gene359.1	w0Bc8	pseudo gene
360	gene360.1	BnSFo	pseudo gene
361	gene361.1	5ccU6	pseudo gene
362	gene362.1	mgwEr	pseudo gene
363	gene363.1	mEszZ	pseudo gene
364	gene364.1	vQCbf	pseudo gene
365	gene365.1	BwzF1	pseudo gene
366	gene366.1	97AUY	pseudo gene
367	gene367.1	wdHPv	pseudo gene
368	gene368.1	1FNmm	pseudo gene
369	gene369.1	8AmHz	pseudo gene
370	gene370.1	EvYpf	pseudo gene
371	gene371.1	wJ8sO	pseudo gene
372	gene372.1	b9do7	pseudo gene
373	gene373.1	qIEek	pseudo gene
374	gene374.1	7lkZv	pseudo gene
375	gene375.1	k5krT	pseudo gene
376	gene376.1	w9gv0	pseudo gene
377	gene377.1	uwE6O	pseudo gene
378	gene378.1	xSYSl	pseudo gene
379	gene379.1	VR841	pseudo gene
380	gene380.1	B085H	pseudo gene
381	gene381.1	XgiJj	pseudo gene
382	gene382.1	AKRuF	pseudo gene
383	gene383.1	2LxUr	pseudo gene
384	gene384.1	6UnQx	pseudo gene
385	gene385.1	9C8h6	pseudo gene
386	gene386.1	qWeAg	pseudo gene
387	gene387.1	hkdsL	pseudo gene
388	gene388.1	fdU6j	pseudo gene
389	gene389.1	ETWqR	pseudo gene
390	gene390.1	er8tQ	pseudo gene
391	gene391.1	Itvmu	pseudo gene
392	gene392.1	vIbvN	pseudo gene
393	gene393.1	R3ued	pseudo gene
394	gene394.1	oPmuo	pseudo gene
395	gene395.1	KechD	pseudo gene
396	gene396.1	Kqv1k	pseudo gene
397	gene397.1	bqnuj	pseudo gene
398	gene398.1	Z6z8v	pseudo gene
399	gene399.1	gI14M	pseudo gene
400	gene400.1	NZRXo	pseudo gene
401	gene401.1	5Xpkz	pseudo gene
402	gene402.1	qUdYK	pseudo gene
403	gene403.1	aBwLp	pseudo gene
404	gene404.1	0VwJp	pseudo gene
405	gene405.1	15f84	pseudo gene
406	gene406.1	ooDrT	pseudo gene
407	gene407.1	mZiG5	pseudo gene
408	gene408.1	sBMgW	pseudo gene
409	gene409.1	t7kpd	pseudo gene
410	gene410.1	NvUHD	pseudo gene
411	gene411.1	9wCwx	pseudo gene
412	gene412.1	nKj25	pseudo gene
413	gene413.1	n5dSX	pseudo gene
414	gene414.1	o5JdG	pseudo gene
415	gene415.1	suYzj	pseudo gene
416	gene416.1	uYrKR	pseudo gene
417	gene417.1	nQbnw	pseudo gene
418	gene418.1	phahM	pseudo gene
419	gene419.1	tWsGU	pseudo gene
420	gene420.1	0JK4O	pseudo gene
421	gene421.1	oGexf	pseudo gene
422	gene422.1	jPVYr	pseudo gene
423	gene423.1	nNR1Q	pseudo gene
424	gene424.1	mHjJY	pseudo gene
425	gene425.1	B1TLl	pseudo gene
426	gene426.1	onmWC	pseudo gene
427	gene427.1	F4nGu	pseudo gene
428	gene428.1	nd7IA	pseudo gene
429	gene429.1	DFRQ1	pseudo gene
430	gene430.1	E4JgS	pseudo gene
431	gene431.1	VdMan	pseudo gene
432	gene432.1	Sv7wl	pseudo gene
433	gene433.1	pcgVx	pseudo gene
434	gene434.1	dWrmd	pseudo gene
435	gene435.1	e6X35	pseudo gene
436	gene436.1	qPj7n	pseudo gene
437	gene437.1	bNRTO	pseudo gene
438	gene438.1	Q8wnp	pseudo gene
439	gene439.1	INtCQ	pseudo gene
440	gene440.1	osVmI	pseudo gene
441	gene441.1	Zx4mm	pseudo gene
442	gene442.1	AQPJU	pseudo gene
443	gene443.1	NjpcX	pseudo gene
444	gene444.1	KoyIW	pseudo gene
445	gene445.1	e9hDp	pseudo gene
446	gene446.1	PVDTr	pseudo gene
447	gene447.1	PhKVT	pseudo gene
448	gene448.1	KgVfy	pseudo gene
449	gene449.1	OgE6D	pseudo gene
450	gene450.1	xm87m	pseudo gene
451	gene451.1	M3U6o	pseudo gene
452	gene452.1	yIIYO	pseudo gene
453	gene453.1	l95sh	pseudo gene
454	gene454.1	T0Cyd	pseudo gene
455	gene455.1	evYTQ	pseudo gene
456	gene456.1	D1YQj	pseudo gene
457	gene457.1	A37lo	pseudo gene
458	gene458.1	OD6XF	pseudo gene
459	gene459.1	TuhWE	pseudo gene
460	gene460.1	4kAfc	pseudo gene
461	gene461.1	IArDt	pseudo gene
462	gene462.1	dJDoE	pseudo gene
463	gene463.1	Kj2Ke	pseudo gene
464	gene464.1	UxE6e	pseudo gene
465	gene465.1	6NTpc	pseudo gene
466	gene466.1	aNvD0	pseudo gene
467	gene467.1	5pile	pseudo gene
468	gene468.1	gOY8X	pseudo gene
469	gene469.1	jqgiB	pseudo gene
470	gene470.1	6sFNa	pseudo gene
471	gene471.1	vmU2Q	pseudo gene
472	gene472.1	Tklkx	pseudo gene
473	gene473.1	MOG3u	pseudo gene
474	gene474.1	It8wE	pseudo gene
475	gene475.1	f6J7e	pseudo gene
476	gene476.1	8gfZ6	pseudo gene
477	gene477.1	R0Tug	pseudo gene
478	gene478.1	ymgpW	pseudo gene
479	gene479.1	sFFLh	pseudo gene
480	gene480.1	TliBK	pseudo gene
481	gene481.1	5Onr2	pseudo gene
482	gene482.1	36ERh	pseudo gene
483	gene483.1	Mz4wP	pseudo gene
484	gene484.1	Aoqun	pseudo gene
485	gene485.1	MRn6a	pseudo gene
486	gene486.1	D4CZ8	pseudo gene
487	gene487.1	GITR0	pseudo gene
488	gene488.1	QT1SS	pseudo gene
489	gene489.1	1kcJ7	pseudo gene
490	gene490.1	yTsyh	pseudo gene
491	gene491.1	fWX5u	pseudo gene
492	gene492.1	4Y1SJ	pseudo gene
493	gene493.1	9jZoV	pseudo gene
494	gene494.1	MV81l	pseudo gene
495	gene495.1	1kGnP	pseudo gene
496	gene496.1	QoEML	pseudo gene
497	gene497.1	Hwk1g	pseudo gene
498	gene498.1	Ym8bk	pseudo gene
499	gene499.1	O4g4v	pseudo gene
500	gene500.1	M8cRM	pseudo gene
501	gene501.1	Ee4ZT	pseudo gene
502	gene502.1	FQwm0	pseudo gene
503	gene503.1	rupI8	pseudo gene
504	gene504.1	XvBn1	pseudo gene
505	gene505.1	MGa7R	pseudo gene
506	gene506.1	U7DiT	pseudo gene
507	gene507.1	VBCHA	pseudo gene
508	gene508.1	WAfWT	pseudo gene
509	gene509.1	KBmYg	pseudo gene
510	gene510.1	4Ke0M	pseudo gene
511	gene511.1	hiSeI	pseudo gene
512	gene512.1	ZgyEQ	pseudo gene
513	gene513.1	BKXXP	pseudo gene
514	gene514.1	C2VXB	pseudo gene
515	gene515.1	VB6bk	pseudo gene
516	gene516.1	2I2eE	pseudo gene
517	gene517.1	FQfE1	pseudo gene
518	gene518.1	8ogDO	pseudo gene
519	gene519.1	c97X9	pseudo gene
520	gene520.1	CMNMC	pseudo gene
521	gene521.1	43ntn	pseudo gene
522	gene522.1	KiAd2	pseudo gene
523	gene523.1	IX6jd	pseudo gene
524	gene524.1	FKNmo	pseudo gene
525	gene525.1	YdRHA	pseudo gene
526	gene526.1	5EXGP	pseudo gene
527	gene527.1	U74sE	pseudo gene
528	gene528.1	mwO6D	pseudo gene
529	gene529.1	LwtP1	pseudo gene
530	gene530.1	5WCBd	pseudo gene
531	gene531.1	6StGf	pseudo gene
532	gene532.1	1lT11	pseudo gene
533	gene533.1	BwRmk	pseudo gene
534	gene534.1	taCDs	pseudo gene
535	gene535.1	F9IAe	pseudo gene
536	gene536.1	MQNS9	pseudo gene
537	gene537.1	p0vJz	pseudo gene
538	gene538.1	iVqc0	pseudo gene
539	gene539.1	ClaWK	pseudo gene
540	gene540.1	ZIB45	pseudo gene
541	gene541.1	hgSqd	pseudo gene
542	gene542.1	xN2mq	pseudo gene
543	gene543.1	tzGTm	pseudo gene
544	gene544.1	SaiRQ	pseudo gene
545	gene545.1	vg52t	pseudo gene
546	gene546.1	Jogj9	pseudo gene
547	gene547.1	cHNvy	pseudo gene
548	gene548.1	ZOfP8	pseudo gene
549	gene549.1	mGQLl	pseudo gene
550	gene550.1	bwKjd	pseudo gene
551	gene551.1	5sTKw	pseudo gene
552	gene552.1	9T9MZ	pseudo gene
553	gene553.1	3f6of	pseudo gene
554	gene554.1	B1AHg	pseudo gene
555	gene555.1	BxVWg	pseudo gene
556	gene556.1	aEZRI	pseudo gene
557	gene557.1	UQDFd	pseudo gene
558	gene558.1	EDICy	pseudo gene
559	gene559.1	8mAhr	pseudo gene
560	gene560.1	ekRir	pseudo gene
561	gene561.1	RV9ny	pseudo gene
562	gene562.1	5KiHn	pseudo gene
563	gene563.1	4kdhb	pseudo gene
564	gene564.1	E1x02	pseudo gene
565	gene565.1	e6FJX	pseudo gene
566	gene566.1	MKmmw	pseudo gene
567	gene567.1	0XUy5	pseudo gene
568	gene568.1	GmsuT	pseudo gene
569	gene569.1	IZpiw	pseudo gene
570	gene570.1	6IyXT	pseudo gene
571	gene571.1	hN1gR	pseudo gene
572	gene572.1	JunA0	pseudo gene
573	gene573.1	9tTlN	pseudo gene
574	gene574.1	BR7gV	pseudo gene
575	gene575.1	vtbtO	pseudo gene
576	gene576.1	IwASI	pseudo gene
577	gene577.1	Lskha	pseudo gene
578	gene578.1	4ZvQK	pseudo gene
579	gene579.1	sFZcG	pseudo gene
580	gene580.1	CrKAk	pseudo gene
581	gene581.1	dUNG5	pseudo gene
582	gene582.1	mlwzw	pseudo gene
583	gene583.1	wTkJP	pseudo gene
584	gene584.1	wyPlU	pseudo gene
585	gene585.1	tWVdi	pseudo gene
586	gene586.1	Drt2V	pseudo gene
587	gene587.1	i3hYK	pseudo gene
588	gene588.1	pMwSc	pseudo gene
589	gene589.1	uokxQ	pseudo gene
590	gene590.1	Ya1q2	pseudo gene
591	gene591.1	IDDUy	pseudo gene
592	gene592.1	YaFz0	pseudo gene
593	gene593.1	kWiJi	pseudo gene
594	gene594.1	VkoIy	pseudo gene
595	gene595.1	CiUIM	pseudo gene
596	gene596.1	Bwaq0	pseudo gene
597	gene597.1	Udhxy	pseudo gene
598	gene598.1	85LVV	pseudo gene
599	gene599.1	jMIya	pseudo gene
600	gene600.1	aZdwh	pseudo gene
601	gene601.1	UZPI1	pseudo gene
602	gene602.1	7jek3	pseudo gene
603	gene603.1	ZyPgA	pseudo gene
604	gene604.1	tcDkD	pseudo gene
605	gene605.1	olFmx	pseudo gene
606	gene606.1	K3Sbx	pseudo gene
607	gene607.1	EKtDd	pseudo gene
608	gene608.1	VXMty	pseudo gene
609	gene609.1	Vwdwo	pseudo gene
610	gene610.1	1IaT2	pseudo gene
611	gene611.1	2SW5S	pseudo gene
612	gene612.1	ntlh1	pseudo gene
613	gene613.1	Rasbd	pseudo gene
614	gene614.1	R9wnp	pseudo gene
615	gene615.1	XOZqi	pseudo gene
616	gene616.1	Vvo10	pseudo gene
617	gene617.1	bSnva	pseudo gene
618	gene618.1	LyVE2	pseudo gene
619	gene619.1	PeoiD	pseudo gene
620	gene620.1	wfK0a	pseudo gene
621	gene621.1	AMewQ	pseudo gene
622	gene622.1	7mGog	pseudo gene
623	gene623.1	ZfTRW	pseudo gene
624	gene624.1	woH9w	pseudo gene
625	gene625.1	T5LU3	pseudo gene
626	gene626.1	HmtNq	pseudo gene
627	gene627.1	IUAna	pseudo gene
628	gene628.1	9GQD8	pseudo gene
629	gene629.1	rNUuq	pseudo gene
630	gene630.1	XTRbc	pseudo gene
631	gene631.1	nXkIS	pseudo gene
632	gene632.1	umrvZ	pseudo gene
633	gene633.1	TYRXP	pseudo gene
634	gene634.1	75dOe	pseudo gene
635	gene635.1	7Abjf	pseudo gene
636	gene636.1	h5MMa	pseudo gene
637	gene637.1	ZdJ1w	pseudo gene
638	gene638.1	cqN0R	pseudo gene
639	gene639.1	QWeV1	pseudo gene
640	gene640.1	TKEx8	pseudo gene
641	gene641.1	K4ldS	pseudo gene
642	gene642.1	d0E4V	pseudo gene
643	gene643.1	18MYt	pseudo gene
644	gene644.1	6Hdty	pseudo gene
645	gene645.1	y28ip	pseudo gene
646	gene646.1	Q0U8W	pseudo gene
647	gene647.1	OKpDr	pseudo gene
648	gene648.1	Ibe1e	pseudo gene
649	gene649.1	nxm0K	pseudo gene
650	gene650.1	Wk97U	pseudo gene
651	gene651.1	oNSFr	pseudo gene
652	gene652.1	Yfr8E	pseudo gene
653	gene653.1	TZ59O	pseudo gene
654	gene654.1	9MZsE	pseudo gene
655	gene655.1	CnHV9	pseudo gene
656	gene656.1	PLpuM	pseudo gene
657	gene657.1	CPBMr	pseudo gene
658	gene658.1	5Du6o	pseudo gene
659	gene659.1	tIiwc	pseudo gene
660	gene660.1	Uu7qV	pseudo gene
661	gene661.1	1zM7q	pseudo gene
662	gene662.1	5pQQg	pseudo gene
663	gene663.1	RJGpw	pseudo gene
664	gene664.1	KxpFm	pseudo gene
665	gene665.1	LYWka	pseudo gene
666	gene666.1	Hht0Q	pseudo gene
667	gene667.1	E76Mi	pseudo gene
